ran , mean , std , var
(-20, -18) , 13.03 , 3.7495466392618724 , 14.0591
(-18, -16) , 9.015 , 2.9857620467813573 , 8.914774999999999
(-16, -14) , 7.17 , 2.679757451710882 , 7.1811
(-14, -12) , 6.3 , 2.6095976701399777 , 6.81
(-12, -10) , 5.035 , 2.1526204960466204 , 4.633774999999999
(-10, -8) , 4.035 , 1.9656487478692626 , 3.863775
(-8, -6) , 3.465 , 1.9101766933977602 , 3.6487750000000005
(-6, -4) , 2.82 , 1.7769637024992941 , 3.1576
(-4, -2) , 1.67 , 1.1794490239090456 , 1.3911000000000002
(-2, 0) , 2.03 , 1.5129771974487918 , 2.2891000000000004
(0, 2) , 3.165 , 1.7515064944213026 , 3.067775
(2, 4) , 3.97 , 2.0295566018221813 , 4.1191
(4, 6) , 4.855 , 2.13400445172919 , 4.553975
(6, 8) , 5.69 , 2.2212383933292705 , 4.9338999999999995
(8, 10) , 7.165 , 2.803172310080135 , 7.857774999999999
(10, 12) , 7.805 , 2.794096455027994 , 7.806975000000002
(12, 14) , 8.87 , 2.9988497794987996 , 8.9931
(14, 16) , 9.525 , 3.0982858163829885 , 9.599375
(16, 18) , 9.955 , 2.8762779768304734 , 8.272975
(18, 20) , 11.865 , 3.4636360952039977 , 11.996774999999998
